index,personal_consum_expend
2010-01-01,10056.1
2010-02-01,10093.4
2010-03-01,10156.0
2010-04-01,10182.3
2010-05-01,10210.8
2010-06-01,10231.3
2010-07-01,10268.1
2010-08-01,10307.1
2010-09-01,10327.1
2010-10-01,10386.4
2010-11-01,10433.6
2010-12-01,10471.0
2011-01-01,10514.3
2011-02-01,10540.6
2011-03-01,10619.7
2011-04-01,10652.1
2011-05-01,10672.2
2011-06-01,10694.8
2011-07-01,10731.6
2011-08-01,10750.3
2011-09-01,10783.2
2011-10-01,10802.9
2011-11-01,10806.8
2011-12-01,10817.8
2012-01-01,10896.8
2012-02-01,10987.2
2012-03-01,10993.9
2012-04-01,11018.5
2012-05-01,11006.8
2012-06-01,10989.8
2012-07-01,11016.8
2012-08-01,11056.0
2012-09-01,11105.3
2012-10-01,11137.4
2012-11-01,11178.4
2012-12-01,11181.2
