index,advanced_retail_asles
2010-01-01,302325.0
2010-02-01,302310.0
2010-03-01,309525.0
2010-04-01,312143.0
2010-05-01,309158.0
2010-06-01,308588.0
2010-07-01,309543.0
2010-08-01,310761.0
2010-09-01,313785.0
2010-10-01,317699.0
2010-11-01,320695.0
2010-12-01,323421.0
2011-01-01,325674.0
2011-02-01,328049.0
2011-03-01,331161.0
2011-04-01,333189.0
2011-05-01,332409.0
2011-06-01,335108.0
2011-07-01,334922.0
2011-08-01,335163.0
2011-09-01,339011.0
2011-10-01,341058.0
2011-11-01,342214.0
2011-12-01,343093.0
2012-01-01,345656.0
2012-02-01,350345.0
2012-03-01,351748.0
2012-04-01,349722.0
2012-05-01,349064.0
2012-06-01,345339.0
2012-07-01,346936.0
2012-08-01,351782.0
2012-09-01,354575.0
2012-10-01,354747.0
2012-11-01,356158.0
2012-12-01,357519.0
