,index,effective_federal_fund
0,2010-01-01,0.11
1,2010-02-01,0.13
2,2010-03-01,0.16
3,2010-04-01,0.2
4,2010-05-01,0.2
5,2010-06-01,0.18
6,2010-07-01,0.18
7,2010-08-01,0.19
8,2010-09-01,0.19
9,2010-10-01,0.19
10,2010-11-01,0.19
11,2010-12-01,0.18
12,2011-01-01,0.17
13,2011-02-01,0.16
14,2011-03-01,0.14
15,2011-04-01,0.1
16,2011-05-01,0.09
17,2011-06-01,0.09
18,2011-07-01,0.07
19,2011-08-01,0.1
20,2011-09-01,0.08
21,2011-10-01,0.07
22,2011-11-01,0.08
23,2011-12-01,0.07
24,2012-01-01,0.08
25,2012-02-01,0.1
26,2012-03-01,0.13
27,2012-04-01,0.14
28,2012-05-01,0.16
29,2012-06-01,0.16
30,2012-07-01,0.16
31,2012-08-01,0.13
32,2012-09-01,0.14
33,2012-10-01,0.16
34,2012-11-01,0.16
35,2012-12-01,0.16
