,index,personal_consum_expend
0,2010-01-01,10056.1
1,2010-02-01,10093.4
2,2010-03-01,10156.0
3,2010-04-01,10182.3
4,2010-05-01,10210.8
5,2010-06-01,10231.3
6,2010-07-01,10268.1
7,2010-08-01,10307.1
8,2010-09-01,10327.1
9,2010-10-01,10386.4
10,2010-11-01,10433.6
11,2010-12-01,10471.0
12,2011-01-01,10514.3
13,2011-02-01,10540.6
14,2011-03-01,10619.7
15,2011-04-01,10652.1
16,2011-05-01,10672.2
17,2011-06-01,10694.8
18,2011-07-01,10731.6
19,2011-08-01,10750.3
20,2011-09-01,10783.2
21,2011-10-01,10802.9
22,2011-11-01,10806.8
23,2011-12-01,10817.8
24,2012-01-01,10896.8
25,2012-02-01,10987.2
26,2012-03-01,10993.9
27,2012-04-01,11018.5
28,2012-05-01,11006.8
29,2012-06-01,10989.8
30,2012-07-01,11016.8
31,2012-08-01,11056.0
32,2012-09-01,11105.3
33,2012-10-01,11137.4
34,2012-11-01,11178.4
35,2012-12-01,11181.2
