,index,proucer_price_index
0,2010-01-01,181.9
1,2010-02-01,181.0
2,2010-03-01,183.3
3,2010-04-01,184.4
4,2010-05-01,184.8
5,2010-06-01,183.5
6,2010-07-01,184.1
7,2010-08-01,184.9
8,2010-09-01,184.9
9,2010-10-01,186.6
10,2010-11-01,187.7
11,2010-12-01,189.7
12,2011-01-01,192.7
13,2011-02-01,195.8
14,2011-03-01,199.2
15,2011-04-01,203.1
16,2011-05-01,204.1
17,2011-06-01,203.9
18,2011-07-01,204.6
19,2011-08-01,203.2
20,2011-09-01,203.7
21,2011-10-01,201.1
22,2011-11-01,201.4
23,2011-12-01,199.8
24,2012-01-01,200.7
25,2012-02-01,201.6
26,2012-03-01,204.2
27,2012-04-01,203.7
28,2012-05-01,201.9
29,2012-06-01,199.8
30,2012-07-01,200.1
31,2012-08-01,202.7
32,2012-09-01,204.4
33,2012-10-01,203.5
34,2012-11-01,201.8
35,2012-12-01,201.5
