,index,personal_saving_rate
0,2010-01-01,5.6
1,2010-02-01,5.3
2,2010-03-01,5.3
3,2010-04-01,6.0
4,2010-05-01,6.4
5,2010-06-01,6.2
6,2010-07-01,6.1
7,2010-08-01,6.2
8,2010-09-01,6.1
9,2010-10-01,5.9
10,2010-11-01,5.8
11,2010-12-01,6.2
12,2011-01-01,6.6
13,2011-02-01,6.9
14,2011-03-01,6.3
15,2011-04-01,6.3
16,2011-05-01,6.3
17,2011-06-01,6.5
18,2011-07-01,6.7
19,2011-08-01,6.7
20,2011-09-01,6.4
21,2011-10-01,6.3
22,2011-11-01,6.4
23,2011-12-01,7.2
24,2012-01-01,7.4
25,2012-02-01,7.3
26,2012-03-01,7.6
27,2012-04-01,7.9
28,2012-05-01,7.9
29,2012-06-01,7.9
30,2012-07-01,7.0
31,2012-08-01,6.7
32,2012-09-01,7.2
33,2012-10-01,7.8
34,2012-11-01,8.7
35,2012-12-01,10.9
