,index,advanced_retail_asles
0,2010-01-01,302325.0
1,2010-02-01,302310.0
2,2010-03-01,309525.0
3,2010-04-01,312143.0
4,2010-05-01,309158.0
5,2010-06-01,308588.0
6,2010-07-01,309543.0
7,2010-08-01,310761.0
8,2010-09-01,313785.0
9,2010-10-01,317699.0
10,2010-11-01,320695.0
11,2010-12-01,323421.0
12,2011-01-01,325674.0
13,2011-02-01,328049.0
14,2011-03-01,331161.0
15,2011-04-01,333189.0
16,2011-05-01,332409.0
17,2011-06-01,335108.0
18,2011-07-01,334922.0
19,2011-08-01,335163.0
20,2011-09-01,339011.0
21,2011-10-01,341058.0
22,2011-11-01,342214.0
23,2011-12-01,343093.0
24,2012-01-01,345656.0
25,2012-02-01,350345.0
26,2012-03-01,351748.0
27,2012-04-01,349722.0
28,2012-05-01,349064.0
29,2012-06-01,345339.0
30,2012-07-01,346936.0
31,2012-08-01,351782.0
32,2012-09-01,354575.0
33,2012-10-01,354747.0
34,2012-11-01,356158.0
35,2012-12-01,357519.0
