,index,consumer_sentiment
0,2010-01-01,74.4
1,2010-02-01,73.6
2,2010-03-01,73.6
3,2010-04-01,72.2
4,2010-05-01,73.6
5,2010-06-01,76.0
6,2010-07-01,67.8
7,2010-08-01,68.9
8,2010-09-01,68.2
9,2010-10-01,67.7
10,2010-11-01,71.6
11,2010-12-01,74.5
12,2011-01-01,74.2
13,2011-02-01,77.5
14,2011-03-01,67.5
15,2011-04-01,69.8
16,2011-05-01,74.3
17,2011-06-01,71.5
18,2011-07-01,63.7
19,2011-08-01,55.8
20,2011-09-01,59.5
21,2011-10-01,60.8
22,2011-11-01,63.7
23,2011-12-01,69.9
24,2012-01-01,75.0
25,2012-02-01,75.3
26,2012-03-01,76.2
27,2012-04-01,76.4
28,2012-05-01,79.3
29,2012-06-01,73.2
30,2012-07-01,72.3
31,2012-08-01,74.3
32,2012-09-01,78.3
33,2012-10-01,82.6
34,2012-11-01,82.7
35,2012-12-01,72.9
